epoch,acc,loss,val_acc,val_loss
0,0.7486800000190735,0.4616015409946442,0.8856800000190734,0.27612908511161804
1,0.9462800000381469,0.14766488791942597,0.8835599999618531,0.2917457484531403
2,0.98512,0.04784944225668907,0.869039999961853,0.4283691774082184
3,0.99624,0.015421617042943835,0.86472,0.5439717641258239
4,0.99932,0.004304185582958162,0.8654,0.6819618523406983
5,0.99984,0.0012928925804421305,0.8664,0.6831209102249145
6,0.99996,0.001100103962160647,0.86592,0.6928484299278259
7,0.99996,0.0009701736106164753,0.8656,0.7038730624008178
8,0.99996,0.0008721547242254019,0.86564,0.7040047345352173
9,0.99996,0.0008590307851135731,0.86564,0.7046118550300599
10,0.99996,0.000846197394807823,0.86592,0.705470075969696
11,0.99996,0.000834834882300347,0.86596,0.705600366077423
12,0.99996,0.000833444445466157,0.86596,0.7057402126121521
13,0.99996,0.0008319616961479187,0.86592,0.7060004983139038
14,0.99996,0.0008305043772340287,0.86592,0.70591148645401
15,0.99996,0.0008303444454167038,0.86592,0.7059607050514222
16,0.99996,0.0008301695901528001,0.86592,0.7060213907432557
17,0.99996,0.0008299993904680013,0.86592,0.7059740551567077
18,0.99996,0.0008299885146040469,0.86592,0.705954034614563
19,0.99996,0.0008299760063784197,0.86592,0.7060361965751648
