epoch,acc,loss,val_acc,val_loss
0,0.4979723282442748,0.6931712292987882,0.502906976744186,0.6933231640231702
1,0.4948601482474801,0.6931896250042197,0.497573993322862,0.6933167619881035
2,0.5019083969465649,0.6931596500727967,0.5075096899224806,0.6932512651118197
3,0.5011953143890526,0.6931692797716457,0.4849587580580436,0.6933192534101987
4,0.5032204198473282,0.6931334547414124,0.48280038759689925,0.6933345332626224
5,0.496772651235766,0.6931763778256081,0.4907811742017478,0.6932775218009023
6,0.4988072519083969,0.6931601027950985,0.4949127906976744,0.6932806307955306
7,0.5011953143748034,0.6931446932047827,0.48592916077517123,0.6933420291518425
8,0.5038167938931297,0.693131439785921,0.4898255813953488,0.693296587282373
9,0.49617499406617593,0.693169846649863,0.49442018443435676,0.6933262205308991
10,0.49821087786259544,0.6931590292289966,0.49612403100775193,0.693244757116303
11,0.5017929715800166,0.6931414233278835,0.4866569626684156,0.6933781736860687
12,0.5050095419847328,0.6931255705483997,0.4900678294573643,0.6933231649472732
13,0.4949796796628741,0.6931749403177481,0.492479378942261,0.6932995913966891
14,0.5008349236641222,0.693146072271216,0.49830426356589147,0.6933021305143371
15,0.4991632799497495,0.6931542978456594,0.4842309558611365,0.6933206644872622
16,0.5063215648854962,0.6931190215449297,0.48158914728682173,0.6933746397957321
17,0.4936648338513029,0.6931813729028795,0.5009704027460479,0.6932480555607936
18,0.49666030534351147,0.693166616991276,0.49079457364341084,0.6933374603589376
19,0.5033468802437496,0.6931336762202347,0.4917515769477957,0.6932852850672923
20,0.5013120229007634,0.6931436994603573,0.4888565891472868,0.693316591340442
21,0.49868515420267806,0.6931566404236181,0.4936923824832718,0.6933061817153919
22,0.4964217557251908,0.6931677888367922,0.49733527131782945,0.6932545734006305
23,0.5035859431030361,0.6931324977211311,0.48520135850596346,0.6933682911723403
24,0.5014312977099237,0.6931431091013756,0.4881298449612403,0.6933304242385451
25,0.49856562278728406,0.6931572292599415,0.49442018443435676,0.6932923291737104
26,0.5033396946564885,0.6931337124973763,0.4992732558139535,0.6932887929354528
27,0.4966531197847489,0.6931666503703796,0.4832605531440089,0.6933340223479884
28,0.49654103053435117,0.6931672012077943,0.4757751937984496,0.6933772878129353
29,0.5034664116947667,0.6931330878256383,0.5067928191934148,0.6932453972109888
30,0.4976145038167939,0.6931619136843062,0.49224806201550386,0.6933045003765314
31,0.5023906287211082,0.6931383867540799,0.49029597284318405,0.6933182976247036
32,0.4973759541984733,0.6931630891698007,0.4941860465116279,0.6933474545330964
33,0.5026296916160178,0.6931372105918545,0.48835516736554846,0.693275276837217
34,0.5019083969465649,0.6931407651828445,0.49152131782945735,0.693315326243408
35,0.4980874970188387,0.6931595826103389,0.49102377477980885,0.6933074540041535
36,0.5047709923664122,0.6931266579919189,0.49079457364341084,0.6932737406834152
37,0.4952187425435345,0.6931737138983909,0.49175157691887544,0.6933491020049938
38,0.5054866412213741,0.6931231360854083,0.4878875968992248,0.6933620992557022
39,0.49450155395142575,0.6931772473295597,0.4946627850268779,0.6932606051293234
40,0.4936784351145038,0.6931813036212484,0.498546511627907,0.6932989807091943
41,0.506335166170071,0.6931189558393728,0.4839883551818546,0.6933238229550301
42,0.5007156488549618,0.6931466378328455,0.48619186046511625,0.6933258758034817
43,0.49928281142214054,0.6931536963844938,0.4963609897818512,0.6932968820893955
44,0.5033396946564885,0.6931337104498885,0.48473837209302323,0.6932925697444945
45,0.4966531198132474,0.693166650441626,0.49781659395876354,0.6933302456230171
46,0.4930820610687023,0.6931842415387394,0.4937015503875969,0.6932939170866974
47,0.5069328233752842,0.6931160097198569,0.48884036876749265,0.693328885705884
48,0.49833015267175573,0.6931583888203133,0.4941860465116279,0.6933053024979525
49,0.5016734401147501,0.6931419170504121,0.48835516756799024,0.6933174921377719
